prompt_id,category,baseline_score,standard_score_after,standard_improvement,standard_hs_defects_after,standard_time_ms,dgeo_score_after,dgeo_improvement,dgeo_hs_defects_after,dgeo_time_ms,shdt_score_after,shdt_improvement,shdt_hs_defects_after,shdt_time_ms,cdraf_score_after,cdraf_improvement,cdraf_hs_defects_after,cdraf_time_ms,unified_score_after,unified_improvement,unified_hs_defects_after,unified_time_ms
B001,code_generation,3.82,7.74,3.92,2,27938,7.5,3.68,3,87994,7.86,4.04,2,76955,8.5,4.68,1,108848,9.65,5.83,0,260544
B002,code_generation,1.65,7.0,5.35,4,21023,7.14,5.49,4,97440,5.98,4.33,3,54980,9.5,7.85,0,120581,ERR,ERR,ERR,ERR
B003,code_generation,5.48,6.4,0.92,4,36120,5.16,-0.32,4,63295,5.82,0.34,4,47117,7.5,2.02,3,117211,9.0,3.52,1,328183
B004,code_generation,4.21,5.17,0.96,6,25402,7.18,2.97,4,106059,7.19,2.98,4,67741,7.5,3.29,2,118994,7.5,3.29,1,266334
B005,code_generation,3.17,7.63,4.46,3,31074,7.25,4.08,3,84022,7.2,4.03,3,58714,8.14,4.97,3,107571,9.5,6.33,0,223090
B006,code_generation,7.05,9.0,1.95,1,33030,8.9,1.85,2,93956,7.5,0.45,2,55901,9.5,2.45,1,59353,7.5,0.45,2,257836
B007,code_generation,3.87,3.34,-0.53,6,44409,7.1,3.23,3,121091,6.65,2.78,4,70983,6.75,2.88,1,116896,7.5,3.63,2,348995
B008,code_generation,2.55,4.24,1.69,5,27607,7.49,4.94,1,94354,2.24,-0.31,6,54526,3.97,1.42,6,124918,7.75,5.2,2,332398
B009,code_generation,6.98,7.35,0.37,2,30839,8.5,1.52,1,83452,7.01,0.03,1,55599,7.5,0.52,2,110160,7.5,0.52,2,309781
B010,code_generation,5.14,7.5,2.36,1,32654,8.5,3.36,1,117360,7.96,2.82,3,66663,8.5,3.36,1,108238,9.5,4.36,0,316760
