provider,prompt_id,category,baseline_score,standard_score_after,standard_improvement,standard_hs_defects_after,standard_time_ms,dgeo_score_after,dgeo_improvement,dgeo_hs_defects_after,dgeo_time_ms,shdt_score_after,shdt_improvement,shdt_hs_defects_after,shdt_time_ms,cdraf_score_after,cdraf_improvement,cdraf_hs_defects_after,cdraf_time_ms,unified_score_after,unified_improvement,unified_hs_defects_after,unified_time_ms
gemini,B001,code_generation,2.79,6.99,4.2,2,28761,7.07,4.28,1,76346,7.0,4.21,1,48775,8.5,5.71,1,103239,7.5,4.71,4,300988
gemini,B002,code_generation,4.82,7.5,2.68,2,36035,7.5,2.68,2,89317,7.21,2.39,3,57867,7.3,2.48,3,103770,7.5,2.68,2,281708
gemini,B003,code_generation,5.31,7.2,1.89,3,24247,7.5,2.19,1,74827,7.71,2.4,2,52105,8.0,2.69,1,113828,9.67,4.36,0,338416
gemini,B004,code_generation,5.48,7.71,2.23,3,26959,5.92,0.44,4,89277,8.5,3.02,0,63494,9.67,4.19,0,6186734,ERR,ERR,ERR,ERR
gemini,B005,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B006,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B007,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B008,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B009,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B010,code_generation,2.75,2.14,-0.61,4,41004,7.5,4.75,1,127483,6.67,3.92,3,76098,2.0,-0.75,5,126756,ERR,ERR,ERR,ERR
gemini,B011,code_generation,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B012,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B013,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B014,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B015,reasoning,4.08,6.82,2.74,4,24421,9.5,5.42,0,95763,7.5,3.42,2,73323,7.5,3.42,3,57676,ERR,ERR,ERR,ERR
gemini,B016,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B017,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
